Programa de financiaciÛn;Entidad CP;DenominaciÛn;DescripciÛn;Validez de;Validez a;Fecha de expiraciÛn
QAUF0001;PUCE;COSTO Y VENTA DE PRO;COSTO Y VENTA DE PRODUCTOS Y SERVICIOS;1/1/1900;31/12/9999;31/12/9999
QAUF0002;PUCE;TALLER DE CULTURA;TALLER DE CULTURA;1/1/1900;31/12/9999;31/12/9999
QAUF0003;PUCE;USO DE INTERNET Y EQ;USO DE INTERNET Y EQUIPOS DE COMPUTACION;1/1/1900;31/12/9999;31/12/9999
QAUF0004;PUCE;SERVICIO DE IMPRESIO;SERVICIO DE IMPRESION;1/1/1900;31/12/9999;31/12/9999
QAUF0005;PUCE;CARNETIZACION PUCE;CARNETIZACION PUCE;1/1/1900;31/12/9999;31/12/9999
QAUF0006;PUCE;ACTIVIDADES DEPORTIV;ACTIVIDADES DEPORTIVAS;1/1/1900;31/12/9999;31/12/9999
QAUF0007;PUCE;ECO PUCE 4 NORMATIVA;ECO PUCE 4 NORMATIVA;1/1/1900;31/12/2020;31/12/2020
QAUF0008;PUCE;LAB.SUELOS C. VTA. P;LAB.SUELOS C. VTA. PROD. Y SERV.;1/1/1900;31/12/9999;31/12/9999
QAUF0009;PUCE;CODIGO ORGANICO ADMI;CODIGO ORGANICO ADMINISTRATIVO;1/1/1900;31/12/2019;31/12/2019
QAUF0010;PUCE;ESPECIALIZADOS MARZO;ESPECIALIZADOS MARZO- AGOSTO;1/1/1900;31/12/9999;31/12/9999
QAUF0011;PUCE;ESPECIALIZADOS SEPTI;ESPECIALIZADOS SEPTIEMBRE- FEBRERO;1/1/1900;31/12/2022;31/12/2022
QAUF0012;PUCE;LUCRO CESANTE PLAYA;LUCRO CESANTE PLAYA ANCHA;1/1/1900;15/1/2020;15/1/2020
QAUF0013;PUCE;CERTIFICACION INTERN;CERTIFICACION INTERNACIONAL EN NEUROCIEN;1/1/1900;31/12/2019;31/12/2019
QAUF0014;PUCE;JAPONES BASICO;JAPONES BASICO;1/1/1900;31/12/2019;31/12/2019
QAUF0015;PUCE;CONFERENCIA DR. JEAN;CONFERENCIA DR. JEAN KNIPPER;1/1/1900;31/12/2019;31/12/2019
QAUF0016;PUCE;AUTORETRATO, ESPEJO;AUTORETRATO, ESPEJO Y REFLEXION;1/1/1900;31/12/2019;31/12/2019
QAUF0017;PUCE;TECNOLOGIA Y ELECTRO;TECNOLOGIA Y ELECTRONICA PARA EL ARTE CO;1/1/1900;31/12/2019;31/12/2019
QAUF0018;PUCE;SENACYT INVENTARIO;SENACYT INVENTARIO;1/1/1900;31/12/9999;31/12/9999
QAUF0019;PUCE;SENACYT RESETA;SENACYT RESETA;1/1/1900;31/12/9999;31/12/9999
QAUF0020;PUCE;MOVILIDAD HUMANA Y R;MOVILIDAD HUMANA Y REFUGIO;1/1/1900;31/12/2019;31/12/2019
QAUF0021;PUCE;ANALISIS DE CEMENTOS;ANALISIS DE CEMENTOS Y AGLUTINANTES;1/1/1900;31/12/9999;31/12/9999
QAUF0022;PUCE;FORMACION DOCENTE MA;FORMACION DOCENTE MARZO-AGOSTO 2018;1/1/1900;31/12/2020;31/12/2020
QAUF0023;PUCE;PERFECCIONAMIENTO DO;PERFECCIONAMIENTO DOCENTE SEPTIEMBRE - F;1/1/1900;31/12/2020;31/12/2020
QAUF0024;PUCE;CAPACITACIONES 2018;CAPACITACIONES 2018 SERVICIO COMUNITARIO;1/1/1900;31/12/2020;31/12/2020
QAUF0025;PUCE;ESCRITURA BASICA EN;ESCRITURA BASICA EN INGLES;1/1/1900;31/12/2019;31/12/2019
QAUF0026;PUCE;REFORZAMIENTO DE CRI;REFORZAMIENTO DE CRITERIOS ESTRUCTURALES;1/1/1900;31/12/2019;31/12/2019
QAUF0027;PUCE;ITALIANO B1 CURSO EX;ITALIANO B1 CURSO EXTENSION;1/1/1900;31/12/2019;31/12/2019
QAUF0028;PUCE;EVANGELIZACION DIGIT;EVANGELIZACION DIGITAL;1/1/1900;31/12/2019;31/12/2019
QAUF0029;PUCE;FILOSOFIA DEL TURISM;FILOSOFIA DEL TURISMO;1/1/1900;31/12/2019;31/12/2019
QAUF0030;PUCE;PLAN DE ACCION DE BI;PLAN DE ACCION DE BIODIVERSIDAD PARA VIL;1/1/1900;15/1/2020;15/1/2020
QAUF0031;PUCE;REDACCION DE ARTICUL;REDACCION DE ARTICULOS CIENTIFICOS;1/1/1900;31/12/2019;31/12/2019
QAUF0032;PUCE;EFECTOS DE LA PERTUB;EFECTOS DE LA PERTUBACION ANTROPOGENICA;1/1/1900;15/1/2020;15/1/2020
QAUF0033;PUCE;PRIMER CONGRESO NACI;PRIMER CONGRESO NACIONAL DE POSGRADISTAS;1/1/1900;31/12/2019;31/12/2019
QAUF0034;PUCE;COLOR TERAPIA, FEU G;COLOR TERAPIA, FEU GIEN Y ESENCIAS;1/1/1900;31/12/2019;31/12/2019
QAUF0035;PUCE;ALEMAN B1;ALEMAN B1;1/1/1900;31/12/2019;31/12/2019
QAUF0036;PUCE;CROSS CULTURAL AWARE;CROSS CULTURAL AWARENESS;1/1/1900;31/12/2019;31/12/2019
QAUF0037;PUCE;CURSO DE NIVELACION;CURSO DE NIVELACION ABR-JUL 18;1/1/1900;31/12/2019;31/12/2019
QAUF0038;PUCE;DISENO DE HERRAMIENT;DISENO DE HERRAMIENTAS DE SIMULACION - M;1/1/1900;31/12/2019;31/12/2019
QAUF0039;PUCE;PROGRAMA DE INVESTIG;PROGRAMA DE INVESTIGACION COMUNITARIA EN;1/1/1900;31/12/2020;31/12/2020
QAUF0040;PUCE;INTRODUCCION AL ANAL;INTRODUCCION AL ANALISIS DE DATOS CON R;1/1/1900;31/12/2019;31/12/2019
QAUF0041;PUCE;CURSO DE PREPARACION;CURSO DE PREPARACION PARA RENDIR EL EXAM;1/1/1900;31/12/2019;31/12/2019
QAUF0042;PUCE;ENTRENAMIENTO PRACTI;ENTRENAMIENTO PRACTICO A MEDIADORES FORM;1/1/1900;31/12/2019;31/12/2019
